organism	ph
Abiotrophia adiacens	7.2
Abiotrophia balaenopterae	7.17
Abiotrophia defectiva	7.2
Abiotrophia elegans	7.2
Absidia spinosa	5.6
Acanthopleuribacter pedis	7.6
Acaricomes phytoseiuli	7.1
Acetatifactor muris	6.7
Acetitomaculum ruminis	7.13
Acetivibrio cellulolyticus	7.2
Acetivibrio cellulosolvens	7.2
Acetivibrio ethanolgignens	6.9
Acetivibrio multivorans	7
Acetobacter aceti	6.8
Acetobacter cerevisiae	6.8
Acetobacter cibinongensis	6.8
Acetobacter diazotrophicus	3.5
Acetobacter estunensis	6.8
Acetobacter europaeus	3.5
Acetobacter hansenii	6.8
Acetobacter indonesiensis	6.8
Acetobacter intermedius	6.35
Acetobacter liquefaciens	6.8
Acetobacter lovaniensis	6.8
Acetobacter methanolicus	5
Acetobacter oboediens	3.8
Acetobacter orientalis	6.8
Acetobacter orleanensis	6.8
Acetobacter pasteurianus	6.8
Acetobacter peroxydans	6.8
Acetobacter pomorum	3.8
Acetobacter syzygii	6.8
Acetobacter tropicalis	6.8
Acetobacter xylinum	6.8
Acetobacter xylinus	6.8
Acetobacterium bakii	7
Acetobacterium carbinolicum	7.26
Acetobacterium dehalogenans	7.8
Acetobacterium fimetarium	7
Acetobacterium malicum	7.6
Acetobacterium paludosum	7
Acetobacterium sp.	7.2
Acetobacterium tundrae	7.1
Acetobacterium wieringae	7.6
Acetobacterium woodii	7.8
Acetogenium kivui	7
Acetohalobium arabaticum	7.8
Acetomicrobium flavidum	7.2
Acetonema longum	7
Acetonema sp.	7
Acholeplasma laidlawii	7.4
Achromobacter denitrificans	6.98
Achromobacter insolitus	7
Achromobacter piechaudii	7.15
Achromobacter ruhlandii	6.87
Achromobacter sp.	7.1
Achromobacter spanius	7
Achromobacter xylosoxidans	7.14
Aciculoconidium aculeatum	5.6
Acidaminobacter hydrogenoformans	7.22
Acidaminococcus fermentans	7.1
Acidaminococcus intestini	7.2
Acidianus ambivalens	2.25
Acidianus brierleyi	2.17
Acidianus infernus	2.25
Acidianus sulfidivorans	2
Acidicaldus organivorans	2.5
Acidicaldus organivorus	2.5
Acidicapsa borealis	7.2
Acidicapsa ligni	5.5
Acidihalobacter ferrooxidans	1.7
Acidilobus aceticus	5.32
Acidilobus saccharovorans	5.32
Acidimicrobium ferrooxidans	2
Acidiphilium acidophilum	3.5
Acidiphilium aminilyticum	3
Acidiphilium aminolytica	3
Acidiphilium cryptum	3
Acidiphilium multivorum	3
Acidiplasma aeolicum	3.4
Acidiplasma cupricumulans	3.4
Acidisoma sibiricum	5.25
Acidisoma tundrae	5.25
Acidisphaera rubrifaciens	5
Acidithiobacillus albertensis	4.55
Acidithiobacillus caldus	2
Acidithiobacillus ferridurans	1.8
Acidithiobacillus ferrivorans	3.77
Acidithiobacillus ferrooxidans	2.49
Acidithiobacillus sp.	2
Acidithiobacillus thiooxidans	3.82
Acidobacterium capsulatum	3
Acidocella aminolytica	3
Acidocella aromatica	4.75
Acidomonas methanolica	5
Acidovorax anthurii	7.2
Acidovorax avenae	7
Acidovorax caeni	7
Acidovorax cattleyae	7
Acidovorax citrulli	7
Acidovorax defluvii	7.08
Acidovorax delafieldii	7.07
Acidovorax facilis	6.88
Acidovorax konjaci	7
Acidovorax radicis	7.2
Acidovorax soli	7.3
Acidovorax sp.	7.05
Acidovorax temperans	7
Acidovorax valerianellae	7
Acidovorax wautersii	7.07
Aciduliprofundum boonei	5.1
Acinetobacter baumannii	7.12
Acinetobacter baylyi	7.29
Acinetobacter beijerinckii	7.3
Acinetobacter bereziniae	7.3
Acinetobacter bouvetii	7.3
