organism	temperature
Abiotrophia adiacens	37
Abiotrophia balaenopterae	37
Abiotrophia defectiva	37
Abiotrophia elegans	37
Abortiporus biennis	26
Absidia anomala	24
Absidia atrospora	26
Absidia blakesleeana	25
Absidia californica	24
Absidia coerulea	24
Absidia corymbifera	25
Absidia cuneospora	24
Absidia cylindrospora	24
Absidia fusca	24
Absidia glauca	24
Absidia heterospora	24
Absidia hyalospora	24
Absidia idahoensis	26
Absidia macrospora	24
Absidia parricida	24
Absidia pseudocylindrospora	24
Absidia ramosa	24
Absidia reflexa	24
Absidia repens	24
Absidia sp.	32
Absidia spinosa	25
Absidia zychae	24
Abyssicoccus albus	28
Abyssivirga alkaniphila	37
Acanthamoeba astronyxis	25
Acanthamoeba castellanii	25
Acanthamoeba comandoni	25
Acanthamoeba culbertsoni	25
Acanthamoeba divionensis	25
Acanthamoeba echinulata	25
Acanthamoeba griffini	28
Acanthamoeba hatchetti	25
Acanthamoeba healyi	25
Acanthamoeba jacobsi	25
Acanthamoeba lenticulata	30
Acanthamoeba lugdunensis	25
Acanthamoeba mauritaniensis	34
Acanthamoeba palestinensis	28
Acanthamoeba pearcei	27
Acanthamoeba polyphaga	25
Acanthamoeba pustulosa	25
Acanthamoeba quina	25
Acanthamoeba rhysodes	25
Acanthamoeba royreba	25
Acanthamoeba sp.	27
Acanthamoeba stevensoni	30
Acanthamoeba terricola	25
Acanthamoeba triangularis	25
Acanthamoeba tubiashi	25
Acanthoecopsis unguiculata	10
Acanthopeltis hirsuta	15
Acanthopleuribacter pedis	25
Acaricomes phytoseiuli	25
Acarospora fuscata	20
Acarospora smaragdula	20
Acaryochloris marina	20
Acetatifactor muris	37
Acetitomaculum ruminis	37
Acetivibrio cellulolyticus	37
Acetivibrio cellulosolvens	37
Acetivibrio ethanolgignens	37
Acetivibrio multivorans	28
Acetoanaerobium noterae	35
Acetobacter aceti	27
Acetobacter alcoholophilus	26
Acetobacter aurantius	26
Acetobacter cerevisiae	27
Acetobacter cibinongensis	30
Acetobacter diazotrophicus	30
Acetobacter estunense	26
Acetobacter estunensis	27
Acetobacter europaeus	30
Acetobacter fabarum	28
Acetobacter ghanensis	30
Acetobacter hansenii	28
Acetobacter indonesiensis	28
Acetobacter intermedius	30
Acetobacter lambici	28
Acetobacter liquefaciens	28
Acetobacter lovaniense	26
Acetobacter lovaniensis	27
Acetobacter malorum	29
Acetobacter mesoxydans	26
Acetobacter methanolicus	30
Acetobacter musti	28
Acetobacter nitrogenifigens	28
Acetobacter oboediens	30
Acetobacter oeni	25
Acetobacter orientalis	30
Acetobacter orleanensis	27
Acetobacter oxydans	26
Acetobacter pasteurianus	27
Acetobacter peroxydans	27
Acetobacter pomorum	30
Acetobacter rancens	26
Acetobacter senegalensis	35
Acetobacter sp.	27
Acetobacter syzygii	30
Acetobacter tropicalis	30
Acetobacter turbidans	26
Acetobacter xylinum	28
Acetobacter xylinus	28
Acetobacterium bakii	20
Acetobacterium carbinolicum	30
Acetobacterium dehalogenans	25
Acetobacterium fimetarium	25
Acetobacterium malicum	30
Acetobacterium paludosum	20
Acetobacterium sp.	30
Acetobacterium tundrae	22
Acetobacterium wieringae	30
Acetobacterium woodii	30
Acetogenium kivui	60
Acetohalobium arabaticum	37
Acetomicrobium flavidum	53
Acetomicrobium mobile	55
Acetomonas oxydans	26
Acetonema longum	30
Acetonema sp.	30
Achaetomiella virescens	24
Achaetomium globosum	31
Achaetomium luteum	30
Achaetomium macrosporum	24
Achaetomium strumarium	24
Achlya ambisexualis	22
Achlya americana	22
Achlya bisexualis	24
